#id	length	GC	avg.qual	sample
SRR23295634.1	1442	61.10	33.38	SRR23295634
SRR23295634.2	1403	52.32	22.38	SRR23295634
SRR23295634.3	1481	49.56	52.87	SRR23295634
SRR23295634.4	1459	57.16	91.53	SRR23295634
SRR23295634.5	1493	49.50	23.75	SRR23295634
SRR23295634.6	1386	56.49	27.79	SRR23295634
SRR23295634.7	1409	58.84	35.38	SRR23295634
SRR23295634.8	1429	59.13	37.37	SRR23295634
SRR23295634.9	1482	49.46	93.00	SRR23295634
SRR23295634.10	1453	55.95	31.40	SRR23295634
SRR23295634.11	1407	56.01	47.39	SRR23295634
SRR23295634.12	1457	55.04	93.00	SRR23295634
SRR23295634.13	1450	55.86	36.49	SRR23295634
SRR23295634.14	1464	57.24	23.46	SRR23295634
SRR23295634.15	1481	49.56	92.94	SRR23295634
SRR23295634.16	1403	56.45	25.90	SRR23295634
SRR23295634.17	1394	51.00	92.98	SRR23295634
SRR23295634.18	1450	56.48	28.15	SRR23295634
SRR23295634.19	1493	50.30	27.79	SRR23295634
SRR23295634.20	1482	49.53	71.88	SRR23295634
SRR23295634.21	1482	49.53	58.70	SRR23295634
SRR23295634.22	1479	49.97	25.29	SRR23295634
SRR23295634.23	1481	49.43	80.91	SRR23295634
SRR23295634.24	1479	49.63	37.63	SRR23295634
SRR23295634.25	1421	54.05	65.44	SRR23295634
SRR23295634.26	1482	49.73	36.17	SRR23295634
SRR23295634.27	1420	51.20	44.41	SRR23295634
SRR23295634.28	1482	49.66	37.14	SRR23295634
SRR23295634.29	1513	51.69	24.43	SRR23295634
SRR23295634.30	1474	54.41	92.98	SRR23295634
SRR23295634.31	1476	50.81	84.07	SRR23295634
SRR23295634.32	1481	49.29	35.71	SRR23295634
SRR23295634.33	1496	49.26	25.10	SRR23295634
SRR23295634.34	1418	53.03	69.81	SRR23295634
SRR23295634.35	1448	60.84	82.88	SRR23295634
SRR23295634.36	1483	49.36	24.58	SRR23295634
SRR23295634.37	1485	49.56	33.65	SRR23295634
SRR23295634.38	1481	49.36	38.71	SRR23295634
SRR23295634.39	1443	57.45	38.16	SRR23295634
SRR23295634.40	1470	56.46	24.99	SRR23295634
SRR23295634.41	1481	49.36	27.73	SRR23295634
SRR23295634.42	1471	52.89	92.91	SRR23295634
SRR23295634.43	1481	49.43	36.61	SRR23295634
SRR23295634.44	1447	55.29	80.33	SRR23295634
SRR23295634.45	1480	49.46	33.52	SRR23295634
SRR23295634.46	1437	53.17	78.23	SRR23295634
